Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\MQP Attempt 4\Project Outputs for MQP Attempt 4\Pick Place\Pick Place for Main Processor Board PCB.txt

========================================================================================================================
File Design Information:

Date:       11/12/22
Time:       19:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                       Layer       Footprint                                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                
J10        "25 Pin Female Header 1.27mm" TopLayer    4X_25_PIN_1.27MM_FEMALE_HEADER                2362.205      2362.205      0        ""                                                                                                                                                         
SW1        "DP SWTCH"                    TopLayer    8P_DP_SWTCH                                   3543.307      472.441       180      "SWITCH SLIDE DIP SPST 100MA 20V"                                                                                                                          
R27        220k                          TopLayer    RESISTOR_220K_5%_1/4W_0603                    649.606       2047.244      270      "220kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                                                                   
R26        220k                          TopLayer    RESISTOR_220K_5%_1/4W_0603                    885.827       2480.315      270      "220kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                                                                   
R25        220k                          TopLayer    RESISTOR_220K_5%_1/4W_0603                    4015.748      2066.929      90       "220kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                                                                   
R24        220k                          TopLayer    RESISTOR_220K_5%_1/4W_0603                    3779.528      1692.913      0        "220kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                                                                   
R23        220k                          TopLayer    RESISTOR_220K_5%_1/4W_0603                    2480.315      610.236       0        "220kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                                                                   
R22        220k                          TopLayer    RESISTOR_220K_5%_1/4W_0603                    2145.669      866.142       270      "220kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                                                                   
R21        220k                          TopLayer    RESISTOR_220K_5%_1/4W_0603                    629.921       2854.331      270      "220kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                                                                   
R20        220k                          TopLayer    RESISTOR_220K_5%_1/4W_0603                    826.772       3267.716      180      "220kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                                                                   
R19        220k                          TopLayer    RESISTOR_220K_5%_1/4W_0603                    2244.095      3937.008      180      "220kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                                                                   
R18        220k                          TopLayer    RESISTOR_220K_5%_1/4W_0603                    2657.480      3731.221      90       "220kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                                                                   
